	compressor_time	entropy_time	entropy	compress
62	19728	5150	45513	6.895622895622895
63	10380	14538	6071	40.554455445544555
64	4138	7013	5201	58.51428571428571
65	37982	13366	50211	4.348195329087049
66	13446	14227	5968	44.043010752688176
67	32161	13596	42734	8.445360824742268
68	36500	5892	47468	4.031496062992126
69	26240	5270	37333	8.062992125984252
70	21511	14518	8656	18.044052863436125
71	36901	13416	42954	5.1457286432160805
72	64454	7785	46488	3.886148007590133
73	61538	7605	49358	3.9422521655437923
74	95553	12544	29343	7.846743295019157
75	99581	11622	45595	6.2343987823439875
76	26801	5000	38509	4.5612472160356345
77	26320	5931	43530	3.8972407231208375
78	22513	7133	29066	5.927641099855282
79	27553	5401	49558	3.9613152804642167
80	102777	6542	30081	7.38018018018018
81	112765	5341	56562	3.1077389984825494
82	179683	8225	47444	3.054436987322893
83	175967	7765	47217	4.039447731755424
84	100652	13004	51495	2.9702683103698333
85	106303	12023	53504	3.3851239669421487
86	49936	5701	57609	2.9941520467836256
87	45577	6002	38620	4.348195329087049
88	78660	9007	45188	6.884033613445379
89	85133	9428	43068	3.69009009009009
90	19147	5420	45211	6.954159592529711
91	27863	5861	44336	3.757798165137615
92	19026	5150	45335	6.965986394557823
93	28625	4989	61759	3.138697318007663
94	20008	6272	29651	7.757575757575758
95	18685	6222	33965	7.876923076923077
96	43524	5881	49999	3.4829931972789114
97	42391	5440	49880	4.289005235602095
98	31751	6773	32260	5.075588599752169
99	34796	5491	50153	4.399570354457572
100	29666	6363	41744	4.047430830039525
101	32863	5611	47024	3.6538804638715434
102	16923	7494	16177	10.03921568627451
103	85092	4820	43665	4.995121951219512
104	31901	13075	21715	8.533333333333333
105	42351	12033	45481	4.768335273573923
106	5160	7234	6090	45.51111111111111
107	20159	5651	42595	7.846743295019157
108	3758	7574	9407	73.14285714285714
109	18666	6533	43621	7.32737030411449
110	23916	5982	32946	4.970873786407767
111	18275	5490	43136	7.6992481203007515
112	42702	5480	43001	7.433756805807622
113	60757	4629	73407	2.2493135639758375
114	18295	5871	43238	7.198594024604569
115	27853	5942	44653	3.7996289424860854
116	17945	5731	43127	7.816793893129771
117	21631	6613	37495	5.801699716713881
118	18856	5501	42820	7.393501805054152
119	40858	5490	43374	7.6560747663551405
120	51168	5661	49813	4.316122233930453
121	16562	5871	43361	7.275310834813499
122	25208	5310	50131	4.442516268980477
123	18866	5471	43650	7.160839160839161
124	25459	5100	50273	4.371398078975454
125	17824	5511	43364	7.801904761904762
126	30098	5520	49887	4.275574112734864
127	23084	5451	43579	7.460837887067395
128	64774	11482	43433	7.641791044776119
129	74993	11011	47078	3.7236363636363636
130	17393	5811	43227	7.17338003502627
131	26711	5130	50105	4.096
132	20209	5841	27942	8.110891089108911
133	80204	5290	49651	4.137373737373737
134	34336	5831	48422	4.067527308838133
135	35208	5089	49903	4.22703818369453
136	33575	5571	49491	3.824463118580766
137	35067	5129	49850	4.031496062992126
138	23185	6582	36437	4.6811428571428575
139	25208	5080	50178	4.2711157455683
140	26040	5621	48926	4.235780765253361
141	27022	5140	50392	4.1001001001001
142	26832	6352	41602	4.231404958677686
143	26090	5100	50166	4.112449799196787
144	28344	5640	50329	4.244559585492228
145	20769	5992	34131	7.111111111111111
146	38574	14598	28174	10.981233243967829
147	51458	14188	50151	4.348195329087049
148	105071	21121	30374	7.684803001876173
149	105311	21702	31525	5.152201257861635
150	11582	8025	24950	25.28395061728395
151	36690	10090	43448	3.988315481986368
152	4559	7164	5077	74.47272727272727
153	31851	5490	54682	3.2251968503937007
154	19277	6913	25284	5.843081312410842
155	58622	4990	57249	4.461873638344227
156	20399	7304	26812	5.4108322324966975
157	35247	4549	69587	2.9963423555230433
158	76156	15239	24467	6.68189233278956
159	83931	13636	58636	3.9728419010669254
160	9268	7154	7949	21.557894736842105
161	24808	6252	50068	4.506050605060506
162	5000	7334	5108	68.26666666666667
163	8967	9999	5912	47.627906976744185
164	41720	7795	59354	2.909090909090909
165	31190	6021	43519	3.7543538038496793
166	27563	5801	45997	3.2741806554756194
167	4699	7314	4444	124.12121212121212
168	24117	5841	40599	5.5501355013550135
169	26941	5641	55364	3.7304189435336976
170	42972	7344	15491	17.13807531380753
171	56939	5591	60258	3.54019014693172
172	39836	4899	64656	2.8306841741534208
173	36580	5621	50653	3.8824644549763034
174	20259	6582	36518	5.97956204379562
175	30879	5400	45870	3.615180935569285
176	24237	5570	53765	4.007827788649706
177	29847	5100	40062	3.5804195804195804
178	23204	6493	26420	5.425165562913907
179	81926	5701	45147	4.785046728971962
180	92406	11562	30779	4.995121951219512
181	96644	10119	63011	3.4391267842149453
182	25008	6132	41439	4.0434353405725565
183	33264	5380	51640	3.5617391304347827
184	20619	6823	23004	6.430141287284145
185	64262	5350	57944	2.8703573931324455
186	31340	6392	38706	3.8532455315145815
187	29596	6383	30785	4.576536312849162
188	17995	8466	15484	7.876923076923077
189	25699	7073	53808	3.8677998111425875
190	13075	10300	9213	15.283582089552239
191	31050	9588	42642	3.7338195077484047
192	57530	9238	33146	4.785046728971962
193	65084	8597	45857	3.261146496815287
194	28805	6071	45320	3.900952380952381
195	32172	4799	67883	2.4615384615384617
196	34266	4568	68367	2.4193738924985233
197	24657	6352	33349	4.394849785407725
198	27402	5169	72156	3.3436734693877552
199	25348	6052	38668	3.8352059925093633
200	24907	6663	34453	4.1924257932446265
201	21291	5931	45181	4.124874118831823
202	25288	5380	52697	3.1507692307692308
203	2825	6984	4538	141.24137931034483
204	17614	6592	24326	5.618655692729766
205	23104	4829	50620	4.691867124856816
206	24456	5561	49571	3.4218880534670006
207	12134	6472	25973	12.44984802431611
208	26540	5471	51154	3.0408314773570897
209	22202	6272	32728	4.108324974924774
210	13185	7123	15271	11.66951566951567
211	3116	7033	5564	67.14754098360656
212	25399	5731	42319	3.602462620932278
213	27152	5471	55796	3.0363232023721274
214	9297	7365	8918	19.504761904761907
215	52290	12434	53153	2.9236259814418273
216	76867	47270	51886	4.047430830039525
217	80735	46799	52080	3.258552108194113
218	95011	11111	42622	4.179591836734694
219	103628	9238	45128	4.796252927400468
220	64383	6603	54190	3.170278637770898
221	65886	5671	53861	3.838800374882849
222	24336	8326	26008	5.744740532959327
223	24847	8086	24848	6.224924012158055
224	33685	7174	42832	3.8972407231208375
225	33564	7544	42349	4.035467980295566
226	35939	7785	37217	4.348195329087049
227	32191	6221	49121	4.366737739872068
228	80865	6783	49694	3.5710549258936357
229	91675	5801	58523	2.782608695652174
230	19247	8537	14992	11.07027027027027
231	53582	6613	48826	3.7304189435336976
232	25408	7674	38533	5.1651954602774275
233	30689	7104	43663	4.289005235602095
234	32271	6062	33383	5.91907514450867
235	33404	6914	39851	4.171079429735234
236	19167	7765	26711	10.750656167979002
237	30979	7425	44607	4.007827788649706
238	33474	7014	38716	4.120724346076459
239	29426	6873	38963	5.063040791100123
240	21701	7014	35479	7.013698630136986
241	34946	6913	39906	5.038130381303813
242	24097	6993	41354	5.843081312410842
243	5891	10530	5191	58.51428571428571
244	23946	9167	30906	5.744740532959327
245	34676	7034	44594	3.53713298791019
246	26741	6773	47038	5.05679012345679
247	29867	6803	50205	4.031496062992126
248	41740	6222	67348	2.345933562428408
249	35839	6593	54212	3.013980868285504
250	28625	6542	44269	4.29350104821803
251	30218	6632	51881	3.757798165137615
252	27863	7525	38140	4.452173913043478
253	31790	6864	48025	4.120724346076459
